Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
120,5.4,7.666,0.0,13.066,2019,0,336,73,False,True
121,5.0,8.033,0.0,13.033,2019,0,312,44,False,True
122,5.7,7.533,-0.2,13.033,2019,0,221,6,False,True
123,4.8,8.2,0.0,13.0,2019,0,318,5,False,True
124,4.9,8.1,0.0,13.0,2019,0,53,65,False,True
125,5.0,8.0,0.0,13.0,2019,0,7,32,False,True
125,5.0,8.0,0.0,13.0,2019,0,248,65,False,True
127,5.2,7.9,-0.1,13.0,2019,0,263,60,False,True
128,5.5,7.8,-0.3,13.0,2019,0,187,9,False,True
129,5.7,7.7,-0.4,13.0,2019,0,239,74,False,True
130,4.9,8.066,0.0,12.966,2019,0,76,19,False,True
131,5.3,7.866,-0.2,12.966,2019,0,237,7,False,True
132,5.2,7.766,0.0,12.966,2019,0,320,43,False,True
133,5.4,7.633,-0.1,12.933,2019,0,264,38,False,True
134,4.9,8.0,0.0,12.9,2019,0,218,1,False,True
135,4.8,8.066,0.0,12.866,2019,0,269,43,False,True
136,4.9,7.966,0.0,12.866,2019,0,147,12,False,True
136,4.9,7.966,0.0,12.866,2019,0,332,32,False,True
138,5.6,7.266,0.0,12.866,2019,0,44,21,False,True
139,4.9,8.033,-0.1,12.833,2019,0,240,43,False,True
140,4.9,7.933,0.0,12.833,2019,0,193,56,False,True
141,5.3,7.5,0.0,12.8,2019,0,70,11,False,True
142,4.4,8.366,0.0,12.766,2019,0,37,54,False,True
143,5.1,7.6,0.0,12.7,2019,0,142,70,False,True
144,5.4,7.4,-0.1,12.7,2019,0,51,28,False,True
145,4.5,8.166,0.0,12.666,2019,0,212,4,False,True
146,4.8,7.866,0.0,12.666,2019,0,98,48,False,True
147,5.3,7.433,-0.1,12.633,2019,0,137,22,False,True
148,4.5,8.1,0.0,12.6,2019,0,144,54,False,True
149,4.7,7.9,0.0,12.6,2019,0,215,53,False,True
150,5.0,7.666,-0.1,12.566,2019,0,6,78,False,True
151,6.2,6.966,-0.6,12.566,2019,0,160,40,False,True
152,4.5,8.433,-0.4,12.533,2019,0,110,50,False,True
153,4.3,8.233,0.0,12.533,2019,0,219,23,False,True
154,5.4,7.133,0.0,12.533,2019,0,48,31,False,True
155,6.2,6.333,0.0,12.533,2019,0,113,4,False,True
156,4.3,8.2,0.0,12.5,2019,0,124,80,False,True
157,4.8,7.7,0.0,12.5,2019,0,235,29,False,True
158,5.1,7.933,-0.6,12.433,2019,0,295,31,False,True
159,5.1,7.333,0.0,12.433,2019,0,87,79,False,True
160,6.0,6.733,-0.3,12.433,2019,0,327,8,False,True
161,3.7,8.7,0.0,12.4,2019,0,321,65,False,True
162,4.7,7.9,-0.2,12.4,2019,0,86,53,False,True
163,4.9,7.5,0.0,12.4,2019,0,102,47,False,True
164,4.3,8.066,0.0,12.366,2019,0,123,1,False,True
165,5.3,7.566,-0.5,12.366,2019,0,130,8,False,True
166,4.9,7.466,0.0,12.366,2019,0,10,59,False,True
167,5.1,7.333,-0.1,12.333,2019,0,203,18,False,True
168,5.2,7.4,-0.3,12.3,2019,0,78,2,False,True
169,4.5,7.766,0.0,12.266,2019,0,279,39,False,True
169,4.5,7.766,0.0,12.266,2019,0,250,57,False,True
171,5.5,6.966,-0.2,12.266,2019,0,222,73,False,True
172,5.3,6.966,0.0,12.266,2019,0,257,17,False,True
