Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
108,4.8,7.966,0.0,12.766,2019.0,0,269,2,False,True
109,5.0,7.766,0.0,12.766,2019.0,0,6,32,False,True
110,5.1,7.666,0.0,12.766,2019.0,0,135,11,False,True
111,4.6,8.133,0.0,12.733,2019.0,0,226,7,False,True
111,4.6,8.133,0.0,12.733,2019.0,0,315,10,False,True
111,4.6,8.133,0.0,12.733,2019.0,0,45,56,False,True
114,4.5,8.216,0.0,12.716,2019.0,0,30,26,False,True
115,4.5,8.2,0.0,12.7,2019.0,0,208,52,False,True
115,4.5,8.2,0.0,12.7,2019.0,0,303,63,False,True
117,4.6,8.1,0.0,12.7,2019.0,0,18,5,False,True
118,4.7,8.0,0.0,12.7,2019.0,0,104,50,False,True
119,5.3,7.4,0.0,12.7,2019.0,0,191,14,False,True
120,4.3,8.366,0.0,12.666,2019.0,0,1,73,False,True
121,5.1,7.533,0.0,12.633,2019.0,0,298,71,False,True
122,4.3,8.3,0.0,12.6,2019.0,0,77,66,False,True
123,5.5,7.075,0.0,12.575,2019.0,0,244,17,False,True
124,4.5,8.066,0.0,12.566,2019.0,0,140,7,False,True
124,4.5,8.066,0.0,12.566,2019.0,0,101,55,False,True
126,4.7,7.866,0.0,12.566,2019.0,0,230,25,False,True
126,4.7,7.866,0.0,12.566,2019.0,0,188,55,False,True
128,4.4,8.133,0.0,12.533,2019.0,0,168,27,False,True
129,4.7,7.833,0.0,12.533,2019.0,0,100,69,False,True
130,4.8,7.733,0.0,12.533,2019.0,0,44,31,False,True
131,4.9,7.633,0.0,12.533,2019.0,0,291,12,False,True
132,4.4,8.1,0.0,12.5,2019.0,0,126,41,False,True
133,4.5,8.0,0.0,12.5,2019.0,0,107,4,False,True
134,4.7,7.8,0.0,12.5,2019.0,0,207,50,False,True
135,4.3,8.166,0.0,12.466,2019.0,0,297,35,False,True
136,4.1,8.333,0.0,12.433,2019.0,0,76,19,False,True
137,4.2,8.233,0.0,12.433,2019.0,0,181,46,False,True
138,4.4,7.966,0.0,12.366,2019.0,0,26,57,False,True
139,4.6,7.766,0.0,12.366,2019.0,0,278,31,False,True
140,4.4,7.933,0.0,12.333,2019.0,0,212,22,False,True
141,4.7,7.633,0.0,12.333,2019.0,0,250,59,False,True
142,4.9,7.433,0.0,12.333,2019.0,0,172,75,False,True
143,4.4,7.9,0.0,12.3,2019.0,0,185,7,False,True
144,4.0,8.266,0.0,12.266,2019.0,0,314,32,False,True
144,4.0,8.266,0.0,12.266,2019.0,0,228,43,False,True
146,4.2,8.066,0.0,12.266,2019.0,0,105,19,False,True
147,4.3,7.966,0.0,12.266,2019.0,0,41,20,False,True
148,4.2,8.033,0.0,12.233,2019.0,0,4,34,False,True
149,4.0,8.2,0.0,12.2,2019.0,0,148,68,False,True
150,4.4,7.8,0.0,12.2,2019.0,0,132,21,False,True
151,4.8,7.366,0.0,12.166,2019.0,0,257,25,False,True
152,4.1,8.033,0.0,12.133,2019.0,0,276,65,False,True
153,4.4,7.733,0.0,12.133,2019.0,0,213,6,False,True
153,4.4,7.733,0.0,12.133,2019.0,0,129,47,False,True
155,4.2,7.9,0.0,12.1,2019.0,0,8,58,False,True
156,4.7,7.4,0.0,12.1,2019.0,0,263,31,False,True
157,4.0,8.066,0.0,12.066,2019.0,0,200,5,False,True
158,4.5,7.566,0.0,12.066,2019.0,0,142,12,False,True
159,4.2,7.833,0.0,12.033,2019.0,0,84,75,False,True
160,4.7,7.333,0.0,12.033,2019.0,0,154,26,False,True
161,5.7,6.266,0.0,11.966,2019.0,0,55,14,False,True
