Rank,Athlete,Nation,D,E,ND,year,round,Total
108,michael sorokine,ISR,5.1,7.266,0.0,2018,qual,12.366
109,elias koski,FIN,4.4,7.933,0.0,2018,qual,12.333
110,shiao yu-jan,none,4.0,8.3,0.0,2018,qual,12.3
111,lukas kranzlmüller,AUT,4.3,8.0,0.0,2018,qual,12.3
111,ethan dick,NZL,4.3,8.0,0.0,2018,qual,12.3
113,robert tvorogal,LTU,5.3,7.0,0.0,2018,qual,12.3
114,david rumbutis,SWE,4.2,8.066,0.0,2018,qual,12.266000000000002
115,adelin kotrong,ROU,4.4,7.866,0.0,2018,qual,12.266
116,maksym vasylenko,UKR,5.3,6.966,0.0,2018,qual,12.266
117,lee jun-ho,SKR,5.5,6.766,0.0,2018,qual,12.266
118,dinh phuong thanh,VIE,5.2,7.033,0.0,2018,qual,12.233
119,brinn bevan,none,5.5,6.733,0.0,2018,qual,12.233
120,raman antropau,BLR,4.8,7.4,0.0,2018,qual,12.2
121,ri yong min,none,5.4,6.8,0.0,2018,qual,12.2
122,santiago mayol,ARG,4.5,7.666,0.0,2018,qual,12.166
123,reiss beckford,JAM,4.8,7.366,0.0,2018,qual,12.166
124,kyleab ellis,NZL,4.1,8.033,0.0,2018,qual,12.133
125,artur davtyan,ARM,4.3,7.833,0.0,2018,qual,12.133
126,han jong hyok,none,6.0,6.133,0.0,2018,qual,12.133
127,jonathan vrolix,BEL,4.0,8.066,0.0,2018,qual,12.066
127,kim vanström,SWE,4.0,8.066,0.0,2018,qual,12.066
129,kiryl tsiareshchanka,BLR,4.7,7.366,0.0,2018,qual,12.065999999999999
130,bojan dejanovic,SRB,4.0,8.0,0.0,2018,qual,12.0
131,dzianis sanuvonh,BLR,4.8,7.2,0.0,2018,qual,12.0
132,andrea russo,ITA,5.0,7.0,0.0,2018,qual,12.0
133,ahmet önder,TUR,5.1,6.9,0.0,2018,qual,12.0
134,filip ude,CRO,4.2,7.766,0.0,2018,qual,11.966000000000001
135,ilan korchak,ISR,4.5,7.466,0.0,2018,qual,11.966000000000001
136,harald wibye,NOR,4.6,7.333,0.0,2018,qual,11.933
137,marcel nguyen,none,5.5,6.433,0.0,2018,qual,11.933
138,filip lidbeck,SWE,3.7,8.2,0.0,2018,qual,11.899999999999999
139,henrik stiansen,NOR,4.1,7.8,0.0,2018,qual,11.899999999999999
140,maxime gentges,BEL,4.9,7.3,-0.3,2018,qual,12.5
141,scott costin,AUS,3.8,8.0,0.0,2018,qual,11.8
142,nicolau mir,ESP,4.7,7.1,0.0,2018,qual,11.8
143,han chung hyo,none,5.1,6.7,0.0,2018,qual,11.8
144,andreas toba,none,5.6,6.2,0.0,2018,qual,11.8
145,ioane jimsheleishvili,GEO,4.2,7.533,0.0,2018,qual,11.733
146,patricio razo,MEX,4.4,7.333,0.0,2018,qual,11.733
147,frantisek cerny,CZE,4.7,7.033,0.0,2018,qual,11.733
148,akim mussayev,KAZ,4.4,7.3,0.0,2018,qual,11.7
149,federico molinari,ARG,4.6,7.1,0.0,2018,qual,11.7
150,ibrahim colak,TUR,4.9,6.8,0.0,2018,qual,11.7
151,park min-soo,SKR,5.4,6.3,0.0,2018,qual,11.7
152,konstantin kuzovkov,GEO,3.7,7.966,0.0,2018,qual,11.666
153,rafael szabo,ROU,3.9,7.766,0.0,2018,qual,11.666
154,nikita simonov,AZE,4.6,7.066,0.0,2018,qual,11.666
155,vigen khachatryan,ARM,4.0,7.633,0.0,2018,qual,11.633
155,tikumporn surintornta,THA,4.0,7.633,0.0,2018,qual,11.633
157,rasuljon abdurakhimov,UZB,4.3,7.333,0.0,2018,qual,11.633
158,simao almeida,POR,4.4,7.2,0.0,2018,qual,11.600000000000001
159,devy dyson,NZL,4.7,6.9,0.0,2018,qual,11.600000000000001
160,arian leon,PER,4.0,7.583,0.0,2018,qual,11.583
161,dmitrii govorov,GEO,3.9,7.666,0.0,2018,qual,11.566
162,carlos edriel yulo,PHI,5.2,6.366,0.0,2018,qual,11.565999999999999
163,loo phay xing,MAS,4.0,7.533,0.0,2018,qual,11.533000000000001
164,fabio sereinig,AUT,4.8,6.733,0.0,2018,qual,11.533
165,phan ngoc hung,VIE,3.9,7.6,0.0,2018,qual,11.5
166,khusniddin abdusamatov,UZB,4.5,7.0,0.0,2018,qual,11.5
167,abdulla azimov,UZB,4.3,7.166,0.0,2018,qual,11.466000000000001
168,caleb faulk,JAM,4.5,6.966,0.0,2018,qual,11.466000000000001
169,stephen lewis,JAM,3.9,7.55,0.0,2018,qual,11.45
170,lucas bitencourt,BRA,5.6,5.8,0.0,2018,qual,11.399999999999999
171,saleem naghouj,JOR,3.8,7.566,0.0,2018,qual,11.366
172,vitalii arseniev,GEO,4.0,7.366,0.0,2018,qual,11.366
173,andres martinez,COL,4.7,6.666,0.0,2018,qual,11.366
