Rank,Athlete,Nation,D,E,ND,Total,year,round
22,ivan stretovich,RUS,5.9,7.833,0.0,13.733,2019,qual
23,petro pakhniuk,UKR,6.2,7.5,0.0,13.7,2019,qual
24,benjamin gischard,SUI,5.6,8.033,0.0,13.633,2019,qual
25,ludovico edalli,ITA,5.7,7.866,0.0,13.566,2019,qual
25,andreas toba,none,5.7,7.866,0.0,13.566,2019,qual
27,lee jung-hyo,SKR,6.0,7.566,0.0,13.566,2019,qual
28,david jessen,CZE,5.1,8.433,0.0,13.533,2019,qual
29,loris frasca,FRA,5.2,8.333,0.0,13.533,2019,qual
30,yevgen yudenkov,UKR,5.2,8.333,0.0,13.533,2019,qual
31,akash modi,USA,5.7,7.833,0.0,13.533,2019,qual
32,joe fraser,none,5.9,7.6,0.0,13.5,2019,qual
33,artur davtyan,ARM,5.4,8.066,0.0,13.466,2019,qual
34,david vecsernyes,HUN,5.3,8.133,0.0,13.433,2019,qual
35,antoine borello,FRA,4.9,8.5,0.0,13.4,2019,qual
36,xiao ruoteng,CHN,6.0,7.4,0.0,13.4,2019,qual
37,artur dalaloyan,RUS,5.6,7.766,0.0,13.366,2019,qual
38,wataru tanigawa,JPN,5.7,7.633,0.0,13.333,2019,qual
39,alexander shatilov,ISR,5.1,8.2,0.0,13.3,2019,qual
40,pablo brägger,SUI,5.2,8.066,0.0,13.266,2019,qual
41,david huddleston,BUL,4.9,8.333,0.0,13.233,2019,qual
42,jimmy verbaeys,BEL,5.0,8.2,0.0,13.2,2019,qual
43,vladyslav hryko,UKR,5.2,7.966,0.0,13.166,2019,qual
44,bart deurloo,NED,5.6,7.566,0.0,13.166,2019,qual
45,ahmed al dyani,QAT,5.1,8.033,0.0,13.133,2019,qual
46,carlo macchini,ITA,5.3,7.8,0.0,13.1,2019,qual
47,michael reid,JAM,6.5,6.6,0.0,13.1,2019,qual
48,krisztofer meszaros,HUN,4.7,8.366,0.0,13.066,2019,qual
49,caio souza,BRA,5.3,7.733,0.0,13.033,2019,qual
49,adria vera,ESP,5.3,7.733,0.0,13.033,2019,qual
51,michael tone,AUS,5.8,7.233,0.0,13.033,2019,qual
51,ivan tikhonov,AZE,5.8,7.233,0.0,13.033,2019,qual
53,nestor abad,ESP,5.0,8.0,0.0,13.0,2019,qual
54,elias koski,FIN,4.9,8.066,0.0,12.966,2019,qual
55,santiago mayol,ARG,5.4,7.566,0.0,12.966,2019,qual
55,park min-soo,SKR,5.4,7.566,0.0,12.966,2019,qual
57,karim rida,none,5.5,7.466,0.0,12.966,2019,qual
58,dinh phuong thanh,VIE,4.6,8.333,0.0,12.933,2019,qual
59,adam steele,IRL,4.9,8.033,0.0,12.933,2019,qual
60,ryan sheppard,HUN,5.1,7.8,0.0,12.9,2019,qual
61,casimir schmidt,NED,5.2,7.7,0.0,12.9,2019,qual
62,sun wei,CHN,5.6,7.3,0.0,12.9,2019,qual
63,michel bletterman,NED,4.2,8.666,0.0,12.866,2019,qual
64,robert tvorogal,LTU,4.9,7.966,0.0,12.866,2019,qual
65,shane wiskus,USA,5.1,7.766,0.0,12.866,2019,qual
66,mauro nemcanin,CRO,5.4,7.466,0.0,12.866,2019,qual
67,thierno diallo,ESP,5.5,7.366,0.0,12.866,2019,qual
68,manrique larduet,CUB,4.5,8.3,0.0,12.8,2019,qual
69,lee jun-ho,SKR,4.8,8.0,0.0,12.8,2019,qual
70,hillal metidji,ALG,5.0,7.8,0.0,12.8,2019,qual
71,julien saleur,FRA,5.1,7.7,0.0,12.8,2019,qual
72,carlos calvo,COL,4.4,8.333,0.0,12.733,2019,qual
73,david rumbutis,SWE,4.6,8.133,0.0,12.733,2019,qual
74,christian baumann,SUI,5.6,7.133,0.0,12.733,2019,qual
75,yogeshwar singh,IND,4.7,8.0,0.0,12.7,2019,qual
76,kim han-sol,SKR,5.2,7.5,0.0,12.7,2019,qual
77,andrey likhovitskiy,BLR,5.5,7.2,0.0,12.7,2019,qual
78,andres martinez,COL,4.5,8.166,0.0,12.666,2019,qual
79,audrys nin reyes,DOM,5.0,7.666,0.0,12.666,2019,qual
80,lucas bitencourt,BRA,5.1,7.566,0.0,12.666,2019,qual
80,khabibullo ergashev,UZB,5.1,7.566,0.0,12.666,2019,qual
82,yul moldauer,USA,5.6,7.066,0.0,12.666,2019,qual
83,frank rijken,NED,5.1,7.533,0.0,12.633,2019,qual
84,isaac cotto,PUR,5.3,7.3,0.0,12.6,2019,qual
85,samuel mikulak,USA,5.5,7.1,0.0,12.6,2019,qual
86,oliver hegi,SUI,5.3,7.266,0.0,12.566,2019,qual
87,ilyas azizov,KAZ,5.4,7.166,0.0,12.566,2019,qual
87,petrix barbosa,POR,5.4,7.166,0.0,12.566,2019,qual
89,joel plata,ESP,5.1,7.4,0.0,12.5,2019,qual
90,vinzenz höck,AUT,4.6,7.866,0.0,12.466,2019,qual
91,arthur mariano,BRA,4.8,7.666,0.0,12.466,2019,qual
92,carlos edriel yulo,PHI,4.9,7.566,0.0,12.466,2019,qual
93,adickxon trejo,none,5.2,7.266,0.0,12.466,2019,qual
94,pietro giachino,NOR,5.4,7.066,0.0,12.466,2019,qual
95,loo phay xing,MAS,5.8,6.666,0.0,12.466,2019,qual
96,yahor sharamkou,BLR,5.1,7.333,0.0,12.433,2019,qual
97,dawid weglarz,POL,4.2,8.166,0.0,12.366,2019,qual
98,deng shudi,CHN,5.5,6.866,0.0,12.366,2019,qual
99,slavomir michnak,SVK,5.6,6.766,0.0,12.366,2019,qual
100,mikhail koudinov,NZL,4.4,7.933,0.0,12.333,2019,qual
101,samuel zakutney,CAN,4.8,7.533,0.0,12.333,2019,qual
