Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual,tot_final,tot_fin_d,tot_fin_ddiv,tot_fin_ddiv_rank
8.0,5.4,8.7,0.0,14.1,2015,0,82,28,False,True,False,15.1,81.54,1231.2540000000001,1239.2540000000001
1.0,5.7,8.75,0.0,14.45,2015,1,4,14,False,True,False,15.45,88.065,1360.6042499999999,1361.6042499999999
2.0,6.1,8.45,-0.3,14.25,2015,0,32,14,False,True,False,15.25,93.02499999999999,1418.63125,1420.63125
0.0,5.6,7.95,0.0,13.55,2015,0,74,14,False,True,False,14.55,81.48,1185.534,1185.534
1.0,6.8,9.25,0.0,16.05,2015,1,118,43,False,True,False,17.05,115.94,1976.777,1977.777
2.0,6.0,8.9,0.0,14.9,2015,0,54,22,False,True,False,15.9,95.4,1516.8600000000001,1518.8600000000001
3.0,6.3,8.85,-0.3,14.85,2015,1,3,43,False,True,False,15.85,99.85499999999999,1582.7017499999997,1585.7017499999997
4.0,5.7,8.65,0.0,14.25,2015,0,48,7,False,True,False,15.25,86.925,1325.60625,1329.60625
5.0,5.6,8.55,0.0,14.15,2015,0,65,7,False,True,False,15.15,84.84,1285.326,1290.326
6.0,5.7,8.2,0.0,13.9,2015,0,95,22,False,True,False,14.9,84.93,1265.457,1271.457
8.0,5.1,7.95,0.0,12.75,2015,0,24,13,False,True,False,13.75,70.125,964.21875,972.21875
1.0,6.2,8.9,0.0,15.1,2016,1,3,43,False,True,False,16.1,99.82000000000001,1607.1020000000003,1608.1020000000003
8.0,5.3,7.825,-0.1,13.025,2016,0,34,30,False,True,False,14.025,74.3325,1042.5133125,1050.5133125
1.0,6.4,8.35,0.0,14.75,2014,0,97,43,False,True,False,15.75,100.80000000000001,1587.6000000000001,1588.6000000000001
2.0,5.7,8.775,0.0,14.475,2014,0,71,45,False,True,False,15.475,88.2075,1365.0110625,1367.0110625
1.0,5.8,8.4,0.0,14.2,2015,0,113,35,False,True,False,15.2,88.16,1340.032,1341.032
2.0,5.6,8.533,0.0,14.133,2015,0,36,35,False,True,False,15.133,84.74479999999998,1282.4430583999997,1284.4430583999997
3.0,5.8,8.166,0.0,13.966,2015,0,74,14,False,True,False,14.966,86.80279999999999,1299.0907048,1302.0907048
4.0,5.4,8.133,0.0,13.533,2015,0,17,23,False,True,False,14.533,78.4782,1140.5236806,1144.5236806
5.0,5.4,8.033,0.0,13.433,2015,0,101,23,False,True,False,14.433,77.93820000000001,1124.8820406000002,1129.8820406000002
6.0,5.1,8.3,0.0,13.4,2015,0,56,27,False,True,False,14.4,73.44,1057.536,1063.536
