Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
156,junior rojo mendoza,VEN,5.9,7.9,-0.3,2015,qual,13.5,0
157,brinn bevan,GBR,6.1,7.4,0.0,2015,qual,13.5,0
158,dmitrijs trefilovs,LAT,5.0,8.466,0.0,2015,qual,13.46,0
159,vinzenz hoeck,AUT,5.2,8.266,0.0,2015,qual,13.46,0
160,ahmed aldyani,QAT,5.6,7.866,0.0,2015,qual,13.46,0
160,ryan patterson,RSA,5.6,7.866,0.0,2015,qual,13.46,0
162,stian skjerahaug,NOR,5.3,8.133,0.0,2015,qual,13.43,0
163,ludovico edalli,ITA,6.1,7.3,0.0,2015,qual,13.4,0
164,marcus conradi,NOR,4.7,8.666,0.0,2015,qual,13.36,0
165,chien hsu ping,TPE,5.7,7.666,0.0,2015,qual,13.36,0
166,gabriel gan zi jie,SIN,4.1,9.233,0.0,2015,qual,13.33,0
167,tarik soto byfield,CRC,4.8,8.533,0.0,2015,qual,13.33,0
168,erdenebold ganbat,MGL,4.9,8.433,0.0,2015,qual,13.33,0
169,bram louwije,BEL,5.6,7.7,0.0,2015,qual,13.3,0
170,ibrahim colak,TUR,5.3,7.966,0.0,2015,qual,13.26,0
171,naoya tsukahara,AUS,6.0,7.266,0.0,2015,qual,13.26,0
172,aleksejs pajada,LAT,4.8,8.433,0.0,2015,qual,13.23,0
173,david bishop,NZL,3.8,9.366,0.0,2015,qual,13.16,0
174,marcus frandsen,DEN,4.2,8.933,0.0,2015,qual,13.13,0
175,martin angelov,BUL,4.7,8.433,0.0,2015,qual,13.13,0
176,audrys nin reyes,DOM,5.5,7.633,0.0,2015,qual,13.13,0
177,alen dimic,SLO,5.9,7.233,0.0,2015,qual,13.13,0
178,ashraf elmaraghy ahmed,EGY,5.2,7.9,0.0,2015,qual,13.1,0
179,eythor baldursson,ISL,4.1,8.933,0.0,2015,qual,13.03,0
180,paolo ottavi,ITA,5.1,7.933,0.0,2015,qual,13.03,0
181,dzianis sanuvonh,BLR,5.1,7.866,0.0,2015,qual,12.96,0
182,abdeldjalil bourguieg mohamed,ALG,5.4,7.566,0.0,2015,qual,12.96,0
183,paata nozadze,GEO,4.5,8.433,0.0,2015,qual,12.93,0
184,tiaan grobler,RSA,4.7,8.233,0.0,2015,qual,12.93,0
185,miguel zapata santana rayderley,ESP,5.6,7.333,0.0,2015,qual,12.93,0
186,javier balboa gonzalez,MEX,6.0,6.933,0.0,2015,qual,12.93,0
187,christopher brooks,USA,6.4,6.533,0.0,2015,qual,12.93,0
188,petar velickovic,SRB,4.2,8.7,0.0,2015,qual,12.9,0
189,milos paunovic,SRB,4.8,8.1,0.0,2015,qual,12.9,0
190,pietro giachino,NOR,4.9,7.9,0.0,2015,qual,12.8,0
191,christian bruno decidet,CHI,5.0,7.8,0.0,2015,qual,12.8,0
192,otgonbat purevdorj,MGL,4.7,8.075,0.0,2015,qual,12.77,0
193,kevin crovetto,MON,4.1,8.666,0.0,2015,qual,12.76,0
194,jack neill,IRL,4.0,8.7,0.0,2015,qual,12.7,0
195,petro pakhnyuk,AZE,6.5,6.2,0.0,2015,qual,12.7,0
196,hamza hossaini,MAR,5.2,8.066,-0.6,2015,qual,12.66,0
197,osvaldo martinez erazun,ARG,5.6,7.066,0.0,2015,qual,12.66,0
198,joao fuglsig,DEN,4.6,8.0,0.0,2015,qual,12.6,0
199,ashish kumar,IND,5.1,7.8,-0.3,2015,qual,12.6,0
200,bojan dejanovic,SRB,4.8,7.8,0.0,2015,qual,12.6,0
201,mohamed reghib,ALG,5.1,7.466,0.0,2015,qual,12.56,0
202,slavomir michnak,SVK,5.3,7.2,0.0,2015,qual,12.5,0
203,jonathan vrolix,BEL,5.0,7.466,0.0,2015,qual,12.46,0
204,nomondalai jamiyankhuu,MGL,4.6,7.833,0.0,2015,qual,12.43,0
205,anderson loran,CAN,5.3,7.133,0.0,2015,qual,12.43,0
